"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"09.10.2024","3.232,13","3.256,99","3.259,60","3.228,51","","-0,76%"
"08.10.2024","3.256,99","3.275,80","3.280,13","3.256,07","","-0,57%"
"07.10.2024","3.275,80","3.276,30","3.280,76","3.271,73","","-0,02%"
"04.10.2024","3.276,30","3.271,60","3.277,30","3.271,47","","0,14%"
"03.10.2024","3.271,60","3.278,88","3.280,07","3.268,86","","-0,22%"
"02.10.2024","3.278,86","3.278,30","3.284,93","3.276,96","","0,02%"
"01.10.2024","3.278,30","3.305,98","3.309,66","3.276,81","","-0,84%"
"30.09.2024","3.305,97","3.309,14","3.315,26","3.305,08","","-0,10%"
"27.09.2024","3.309,13","3.294,21","3.311,82","3.294,21","","0,46%"
"26.09.2024","3.294,14","3.293,72","3.295,79","3.290,99","","0,01%"
"25.09.2024","3.293,73","3.303,53","3.307,08","3.291,26","","-0,30%"
"24.09.2024","3.303,53","3.311,97","3.314,72","3.300,46","","-0,25%"
"23.09.2024","3.311,97","3.333,57","3.333,74","3.309,43","","-0,65%"
"20.09.2024","3.333,57","3.340,62","3.345,39","3.332,42","","-0,21%"
"19.09.2024","3.340,62","3.350,15","3.352,02","3.339,08","","-0,28%"
"18.09.2024","3.350,15","3.353,66","3.357,45","3.347,84","","-0,10%"
"17.09.2024","3.353,66","3.360,75","3.363,42","3.351,54","","-0,21%"
"16.09.2024","3.360,72","3.364,30","3.367,55","3.358,85","","-0,11%"
"13.09.2024","3.364,30","3.358,49","3.368,01","3.358,49","","0,17%"
"12.09.2024","3.358,49","3.367,28","3.369,98","3.356,24","","-0,26%"
"11.09.2024","3.367,28","3.371,92","3.376,40","3.365,55","","-0,14%"
"10.09.2024","3.371,90","3.382,23","3.385,31","3.369,80","","-0,31%"
"09.09.2024","3.382,23","3.386,57","3.390,33","3.379,21","","-0,13%"
"06.09.2024","3.386,56","3.382,37","3.389,35","3.382,34","","0,12%"
"05.09.2024","3.382,37","3.385,35","3.388,44","3.380,84","","-0,09%"
"04.09.2024","3.385,35","3.383,74","3.388,44","3.382,82","","0,05%"
"03.09.2024","3.383,71","3.389,32","3.394,52","3.383,42","","-0,17%"
"02.09.2024","3.389,32","3.393,55","3.396,84","3.385,22","","-0,12%"
"30.08.2024","3.393,55","3.385,90","3.396,13","3.385,90","","0,23%"
"29.08.2024","3.385,87","3.381,70","3.387,12","3.381,70","","0,12%"
"28.08.2024","3.381,68","3.383,92","3.388,24","3.381,68","","-0,07%"
"27.08.2024","3.383,92","3.386,90","3.392,37","3.383,44","","-0,09%"
"26.08.2024","3.386,89","3.388,44","3.391,01","3.386,23","","-0,05%"
"23.08.2024","3.388,44","3.378,66","3.390,07","3.378,60","","0,29%"
"22.08.2024","3.378,64","3.381,83","3.384,64","3.376,17","","-0,09%"
"21.08.2024","3.381,82","3.382,51","3.386,33","3.379,67","","-0,02%"
"20.08.2024","3.382,52","3.382,03","3.387,88","3.380,35","","0,01%"
"19.08.2024","3.382,02","3.385,48","3.388,43","3.381,56","","-0,10%"
"16.08.2024","3.385,46","3.374,01","3.385,46","3.374,01","","0,34%"
"15.08.2024","3.374,02","3.363,11","3.374,99","3.363,05","","0,32%"
"14.08.2024","3.363,10","3.355,22","3.363,10","3.355,12","","0,24%"
"13.08.2024","3.355,20","3.352,28","3.358,63","3.352,28","","0,09%"
"12.08.2024","3.352,25","3.349,98","3.354,69","3.349,81","","0,07%"
"09.08.2024","3.349,97","3.345,07","3.352,30","3.345,07","","0,15%"
"08.08.2024","3.345,06","3.349,31","3.353,65","3.343,89","","-0,13%"
"07.08.2024","3.349,29","3.347,44","3.354,94","3.346,27","","0,06%"
"06.08.2024","3.347,44","3.352,64","3.360,93","3.345,22","","-0,16%"
"05.08.2024","3.352,64","3.368,95","3.368,95","3.336,77","","-0,48%"
"02.08.2024","3.368,97","3.365,60","3.373,72","3.365,60","","0,10%"
"01.08.2024","3.365,60","3.364,78","3.370,02","3.361,59","","0,02%"
"31.07.2024","3.364,78","3.358,40","3.367,95","3.358,40","","0,19%"
